timestamp,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for [routing] (in ms),number of published elements for subject [search],duration for Filtering for [search] (in ms)
2022-03-01T10:31:07+01:00,60325,1496,3684,3174,63499,3330,24,55,156
2022-03-01T10:32:21+01:00,49548,608,1081,1395,50943,1033,12,87,112
2022-03-01T10:33:03+01:00,39515,368,615,661,40176,665,6,24,76
2022-03-01T10:34:19+01:00,58743,470,3777,2852,61595,1385,13,53,139
2022-03-01T17:54:20+01:00,1614,82,1964,2279,3893,1282,51,23,38
2022-03-01T17:55:03+01:00,2218,126,1902,965,3183,870,34,72,19
2022-03-01T19:10:27+01:00,6384,106,13499,789,7173,747,33,44,37
2022-03-01T19:11:09+01:00,1580,81,991,5152,6732,742,24,31,35
2022-03-01T19:14:40+01:00,3130,91,1244,3858,6988,1863,42,27,22
2022-03-01T19:15:13+01:00,2465,83,2637,1929,4394,1695,43,65,20
2022-03-01T19:17:30+01:00,1076,68,2699,2249,3325,714,30,17,19
2022-03-01T19:18:02+01:00,1640,90,1412,2355,3995,893,38,15,21
2022-03-01T19:19:16+01:00,5157,167,2179,8565,13722,8290,178,36,76
2022-03-01T19:20:22+01:00,1380,70,4670,1648,3028,517,23,56,20
2022-03-01T19:21:16+01:00,1745,63,2083,869,2614,983,36,41,18
2022-03-01T19:22:07+01:00,764,60,759,1125,1889,423,18,24,10
2022-03-01T19:23:09+01:00,1903,99,1142,3545,5448,1281,46,118,38
2022-03-01T19:24:13+01:00,1942,63,2436,593,2535,451,14,18,21
2022-03-01T19:25:16+01:00,1051,92,2536,2226,3277,1541,62,24,15
2022-03-01T19:26:30+01:00,2070,66,2185,374,2444,154,8,36,13
2022-03-01T19:27:22+01:00,636,75,1596,1059,1695,809,36,11,13
2022-03-01T21:22:24+01:00,1482,185,12719,591,2073,642,20,116,18
2022-03-01T21:24:57+01:00,2281,87,1345,3429,5710,1538,25,177,27
2022-03-01T21:24:59+01:00,1641,144,1071,612,2253,388,14,98,28
2022-03-01T21:25:12+01:00,1641,64,2438,612,2253,388,22,98,28
2022-03-01T22:34:52+01:00,1116,60,656,1007,2123,471,11,12,14
2022-03-01T22:35:14+01:00,10935,215,1056,3428,14363,2311,21,17,33
2022-03-01T22:36:16+01:00,3528,133,879,1284,4812,1511,12,44,16
2022-03-01T22:36:48+01:00,3528,99,829,1284,4812,1511,30,44,30
2022-03-01T22:38:36+01:00,1546,70,4276,2930,4476,930,11,434,22
2022-03-01T22:40:36+01:00,2657,100,2932,1727,4384,617,10,273,18
2022-03-01T23:19:26+01:00,2657,89,5782,1818,4475,648,16,273,29
2022-03-01T23:32:50+01:00,2657,89,1416,1818,4475,648,13,273,25
2022-03-01T23:45:13+01:00,2657,238,4000,1818,4475,648,25,273,34
2022-03-01T23:51:04+01:00,2657,85,3477,1818,4475,648,15,273,25
